category,name,description,image_url,product_url
Laptops,ASUS ROG Strix G16 G614JI-N3187W,"De ASUS ROG Strix G16 G614JI-N3187W is de ultieme gaming-laptop die je gamingervaring naar een hoger niveau tilt. Met zijn krachtige specificaties en robuuste ontwerp is deze laptop klaar voor elke uitdaging die je hem geeft.
Met een Intel® Core™ i7-processor van de nieuwste generatie ben je verzekerd van razendsnelle prestaties en maximale responsiviteit, waardoor je moeiteloos kunt gamen, streamen en multitasken zonder vertraging.
Het 16-inch WUXGA-scherm met een resolutie van 1920 x 1200 pixels biedt een adembenemende beeldkwaliteit, zodat je elk detail kunt zien tijdens intense gaming-sessies.
Met 16 GB DDR5-SDRAM intern geheugen en een royale 1 TB SSD-opslag heb je voldoende ruimte en snelheid om al jouw favoriete games en multimedia-inhoud op te slaan en snel te laden.
De ASUS ROG Strix G16 is uitgerust met een krachtige NVIDIA GeForce RTX 4070 grafische kaart, waardoor je kunt genieten van vloeiende en meeslepende graphics met realistische details en verbluffende visuele effecten.
Of je nu de nieuwste AAA-games speelt of bezig bent met grafisch intensieve taken, deze laptop levert de prestaties die je nodig hebt.
Windows 11 Home is al geïnstalleerd, waardoor je direct kunt genieten van de nieuwste functies en verbeteringen van Microsoft's besturingssysteem.
Met zijn stoere grijze kleur en clamshell-vormfactor is de ASUS ROG Strix G16 niet alleen een krachtige gaming-laptop, maar ook een stijlvolle metgezel voor onderweg.",https://www.laptop.nl/picture/80066112/600/370/HighResolution/LPNL/false,https://www.laptop.nl/product/asus-rog-strix-g16-g614ji-n3187w/80066112/17923
Laptops,Outlet: HP Omen Gaming 17-db0530nd,"Welkom in de toekomst van gaming met de HP OMEN 17-db0530nd laptop, een meesterwerk van technologie dat wordt aangedreven door geavanceerde AI-functies. Deze laptop is niet zomaar een gamingmachine; het is een intelligent systeem dat is ontworpen om te anticiperen op je behoeften en je gameplay naar nieuwe hoogten te tillen.
Met een krachtige AMD Ryzen™ 7 8845HS processor aan boord, levert de HP OMEN 17-db0530nd laptop ongeëvenaarde prestaties die zelfs de meest veeleisende gamers tevreden zullen stellen. De combinatie van AMD Radeon Graphics en de discrete NVIDIA GeForce RTX 4070 grafische kaart biedt verbluffende visuele pracht en een soepele gameplay die je meesleept in elke virtuele wereld.
Het 17,3-inch Full HD-beeldscherm biedt een adembenemende kijkervaring, terwijl 16 GB DDR5-SDRAM en een snelle 512 GB SSD-opslagruimte zorgen voor voldoende ruimte en snelheid om al je games moeiteloos te laden en te spelen.
Wat de HP OMEN 17-db0530nd laptop echt onderscheidt, is zijn AI-mogelijkheden. Dit intelligente systeem past zich aan jouw speelstijl aan, leert van je acties en optimaliseert de prestaties om je een voorsprong te geven op de concurrentie. Met Windows 11 Home als besturingssysteem geniet je van een naadloze en intuïtieve gebruikerservaring, terwijl het strakke zwarte ontwerp van de laptop kracht en stijl uitstraalt.
Stap binnen in de toekomst van gaming met de HP OMEN 17-db0530nd laptop en ontdek hoe AI je gamingervaring kan transformeren. Bereid je voor om te domineren in elke game en laat je meeslepen door de kracht van intelligentie en prestaties.",https://www.laptop.nl/picture/80067716/600/370/HighResolution/LPNL/false,https://www.laptop.nl/product/outlet-hp-omen-gaming-17-db0530nd/80067716/17923
Laptops,Lenovo IdeaPad Slim 5 - 82XF00A4MH,"Mobiel zijn op een slimme manier
- Slimme, dunne, lichte 16-inch laptop van militaire kwaliteit
- Met Intel® Core™-processors van de 13e generatie
- Realtime systeemrespons via Lenovo AI Engine
- Optionele vingerafdruklezer en hybride FHD-infraroodcamera
- Verbeterde functies om tijd te besparen en je gegevens te beveiligen
- Keuze uit prachtige beeldschermen, Dolby Audio™-gecertificeerd",https://www.laptop.nl/picture/80066123/600/370/HighResolution/LPNL/false,https://www.laptop.nl/product/lenovo-ideapad-slim-5-82xf00a4mh/80066123/17923
Laptops,Lenovo Yoga Slim 6 Laptop 14IRH8 - 83E0004BMH,"Ga ervoor
- Draait op Intel® Evo™ en maximaal een Intel® Core™-processor van de 13e generatie
- Robuuste duurzaamheid van militaire kwaliteit met een licht ontwerp
- Bescherm je gegevens met slimme, verbeterde beveiligingsfuncties
- Maximaal een OLED-scherm met Dolby Vision™ en optioneel touchscreen
- Verbeterde videovergaderingen met noise cancelling en achtergrondvervaging",https://www.laptop.nl/picture/80065931/600/370/HighResolution/LPNL/false,https://www.laptop.nl/product/lenovo-yoga-slim-6-laptop-14irh8-83e0004bmh/80065931/17923
Laptops,Outlet: HP OmniBook Ultra 14-fh0000nd Copilot+ PC,"HP OmniBook Ultra Flip Next Gen AI-pc: AI-ondersteunde creativiteit
Profiteer van de kracht, mobiliteit en stijl van de HP OmniBook Ultra Flip Next Gen AI-pc. Breng je creaties tot leven met de nieuwste Intel® Core™ Ultra-processor
[1]
met AI-ondersteuning. Doe meer in minder tijd met een pc met goed beschermde AI-tools en een langere batterijduur
[2]
en profiteer van HP Wolf Security-functies voor particulieren.",https://www.laptop.nl/picture/80068542/600/370/HighResolution/LPNL/false,https://www.laptop.nl/product/outlet-hp-omnibook-ultra-14-fh0000nd-copilot-pc/80068542/17923
Laptops,Outlet: Lenovo Legion 5 - 83DG00CXMH,"Gamen zonder compromissen. Scoor beter met de kracht van een Intel® Core™-processor.
Intel® Core™-processors beschikken over een nieuwe geoptimaliseerde hybride architectuur en toonaangevende technologie waarmee je meer kunt doen dan alleen gamen en creatief zijn. Met Intel® kun je het allemaal. Van vooruitgang in games tot vooruitgang in het echte leven: met Intel® kun je beste uit jezelf halen.
Krachtige NVIDIA® GeForce RTX™ grafische kaarten. Sneller dan snel.
Laptop-GPU's uit de NVIDIA® GeForce RTX 40-serie vormen de basis van de snelste laptops ter wereld voor gamers én makers. Ze zijn gemaakt voor het AI-tijdperk en vormen een enorme sprong voorwaarts in prestaties met DLSS 3 op basis van AI. Ze maken levensechte virtuele werelden mogelijk met volledige raytracing. Bovendien optimaliseert de technologie van de Max-Q-suite systeemprestaties, kracht, batterijduur en geluid voor een maximale efficiëntie.
Profiteer van 3 maanden Xbox Game Pass op Lenovo Legion-apparaten
Speel meer dan 100 hoogwaardige games met je nieuwe Lenovo Legion-laptop en drie maanden Xbox Game Pass, met EA Play inbegrepen. Er worden constant nieuwe games toegevoegd, dus je kunt altijd iets nieuws spelen. Download een game en speel met zeer natuurgetrouwe beelden of speel consolegames vanuit de cloud met de verbonden controller. Zie xbox.com/subscriptionterms.
Game slimmer en sneller met Lenovo AI Engine+
Strijd nu op gelijke voet met je tegenstanders met de Lenovo Legion Pro 5i Gen 9. Dit is niet zomaar een gaminglaptop, maar betekent een ware revolutie. Jouw geheime wapen in de gamingarena werkt met een LA1 AI-chip en de Lenovo AI Engine+. Deze laptop optimaliseert je gameplay in realtime met maximale FPS voor vloeiende animaties en snelle reacties waarmee je je tegenstanders een stap voor blijft. En net als jij blijft deze laptop maar doorgaan: hij verbetert en evolueert voortdurend ??dankzij de innovatieve Smart Engine. Met deze laptop speel je niet alleen games, je domineert ze.
Legion ColdFront: de thermische titaan
Klaar om tot het uiterste te gaan in je games? Legion ColdFront is verbeterd met AI, waardoor de koeling nog beter werkt. Door de Phase-Change Materials en superdunne 3D-bladen is het koelsysteem ingrijpend verbeterd. Je eigen Legion Pro 5i-laptop? Die draait soepeler dan ooit tevoren. Verwacht een superkrachtige luchtstroom dankzij onze kolossale hybride koelbuizen. Alles draait om maximale thermische efficiëntie en topprestaties, hoe zwaar de game ook wordt. En het vermogen? Je hebt maar liefst 200 W tot je beschikking.
Visuele glorie op een adembenemend scherm
Richt je vijanden snel te gronde dankzij het geavanceerde Lenovo PureSight-gamingscherm, nu met X-Rite™ Pantone®-certificering en in de fabriek gekalibreerd voor ongelooflijk nauwkeurige kleuren. Door de hoge variabele vernieuwingsfrequentie van 240 Hz, 100% DCI-P3 en een beeldverhouding van 16:10 is het 16"" QHD-scherm van de Legion Pro 5i Gen 9 perfect voor een totaaloverzicht, snelle reflexen en nauwkeurig richten. Het scherm neemt 93,08% van het oppervlak in beslag, waardoor het lijkt alsof je beeld in de ruimte zweeft. Bovendien zie je met HDR en een hoge kleurnauwkeurigheid elk detail van je game, hoe licht of donker het ook wordt.
Profiteer van Lenovo Vantage
Met Lenovo Vantage kun je je instellingen optimaliseren om nog dieper in je games te duiken. Je kunt de mogelijkheden van je laptop aanpassen, personaliseren en maximaliseren met onze alles-in-één-suite van tools. Niets staat je succes in de weg met het realtime prestatiedashboard, overklokopties en AI-afstelling van de prestaties met intelligente ventilatorregeling.
Groener gamen
Game op een verantwoorde manier met de Legion Pro 5i die duurzaamheid vooropstelt. Het A-frame bestaat voor 30% uit gerecyclede kunststof en deze schone, milieubewuste en groene laptop is daarnaast ook van een oliewerende coating voorzien. Het I/O-dashboard aan de achterzijde met volledige I/O-ondersteuning biedt alle aansluitingen die je nodig hebt om je dagelijkse activiteiten te stroomlijnen en te vereenvoudigen. Door de CO2 Carbon Offset Service van Lenovo is je apparaat ook nog eens voorzien van milieuvriendelijke duurzaamheid, proactiviteit en transparantie. Dit is gemakkelijk voor jou en waardevol voor het milieu.
Ervaar de weergaloze kracht
Profiteer van het ongeëvenaarde batterijvermogen van de Legion Pro 5i-laptop. Deze stoere jongen is voorzien van een enorme batterij van 80 Wh, zodat je elke dag de hele dag kunt doorgaan. Met Super Rapid Charge laad je die monsterbatterij binnen enkele minuten op als je de gelijkstroomoplader van 300 W uit de doos gebruikt, terwijl je onderweg met 140 W kunt opladen via USB-C. Tegelijkertijd gebruikt Smart Battery machine learning om de capaciteit van de batterij optimaal te benutten en verslechtering te verminderen, zodat je optimaal gebruik kunt maken van de langere batterijduur van je laptop.
Bevelen, beheersen en veroveren
De Legion Pro 5i Gen 9 is voorzien van een Legion TrueStrike-gamingtoetsenbord, de perfecte bediening voor gamers die nauwkeurige controle en geweldige aanpassingsmogelijkheden eisen. Dit grote toetsenbord beschikt ook over grote pijl- en cijfertoetsen en een groot Mylar-touchpad dat je alles geeft wat je nodig hebt om iedereen de baas te zijn. Dankzij de volledig aanpasbare RGB-verlichting, mogelijk gemaakt door Lenovo Spectrum, kun je een ??geweldige sfeer creëren tijdens het gamen. Bovendien kun je met een toetsveerweg van 1,5 mm en ondersteuning voor verwisselbare toetskapjes de perfecte omgeving voor jouw speelstijl creëren.
Ga nog meer op in games en verbeter je kwaliteit van leven
Tobii Horizon is geavanceerde software die zonder extra hulpmiddelen je hoofdbewegingen volgt, zodat je een topselectie van games en gamefranchises op een geheel nieuwe manier kunt ervaren. Dit gaat verder dan gamen alleen: treed nieuw tijdperk binnen met slimme Tobii Aware-functies die je privacy, veiligheid, productiviteit en welzijn verbeteren.
Nahimic® Audio By SteelSeries voor gamers, meeslepend 3D-geluid
Geniet van games op een geheel nieuwe manier met Nahimic by SteelSeries op de Legion Pro 5i. Dit is speciaal ontworpen voor gamers en produceert een meeslepend 3D-geluid dat je beleving van games verbetert. Communiceer met je teamgenoten met een kristalheldere kwaliteit of mix en deel audiostreams als een professional. Nahimic verbetert niet alleen je games, maar zorgt ervoor dat je er helemaal in kunt opgaan.
Geavanceerde ondersteuning voor Legion-apparaten.
Krijg 24 uur per dag speciale ondersteuning voor gamers met Legion Ultimate Support. Dit is jouw beste gametactiek die altijd garandeert dat je voor 100% presteert. Of het nu gaat om werk of ontspanning, onze gamingspecialisten staan ??klaar om je te helpen met advies over instellingen, optimalisatie van hardware/software en meer. En als we je probleem niet op afstand kunnen oplossen, staan we de volgende werkdag bij je voor de deur. Doe meer met Legion Ultimate Support.
Legion Arena, de ultieme gaminghub
Al je games op één plek. Met de centrale gaminghub Legion Arena synchroniseer je eenvoudig alles van populaire stores en gamingplatforms en heb je volledige controle over hoe je je gamebibliotheek bekijkt en beheert. Je hebt vanaf één plek toegang tot al je games, zonder tussen apps te moeten wisselen om je favoriete games te zoeken.
Profiteer van 3 maanden Xbox Game Pass op Lenovo Legion-apparaten
Speel meer dan 100 kwaliteitsgames met je nieuwe Lenovo Legion-laptop en drie maanden Xbox Game Pass, inclusief EA Play. Er worden constant nieuwe games toegevoegd, dus je kunt altijd iets nieuws spelen. Download een game en speel met zeer natuurgetrouwe beelden of speel consolegames vanuit de cloud met de verbonden controller.
Specificaties kunnen per regio en/of model afwijken.",https://www.laptop.nl/picture/80068485/600/370/HighResolution/LPNL/false,https://www.laptop.nl/product/outlet-lenovo-legion-5-83dg00cxmh/80068485/17923
Laptops,Outlet: Lenovo Yoga Pro 7 - 83AU0048MH,"Ontdek de perfectie van design en prestaties met de Lenovo Yoga Pro 7 notebook. Deze clamshell-laptop combineert kracht, flexibiliteit en stijl in één indrukwekkend apparaat. Of je nu werkt, creëert of ontspant, de Lenovo Yoga Pro 7 levert de prestaties die je nodig hebt en past zich aan jouw behoeften aan.
De Lenovo Yoga Pro 7 notebook is uitgerust met een krachtige AMD Ryzen™ 7-processor, specifiek de 7735HS, met een frequentie van 3,2 GHz. Deze processor biedt ongeëvenaarde snelheid en vlotte multitasking-mogelijkheden. Werk efficiënt, bewerk foto's en video's zonder enige vertraging en geniet van een vlotte gebruikerservaring.
Het 14.5"" 2.5K-beeldscherm biedt een adembenemende kijkervaring met een resolutie van 2560 x 1600 pixels. Geniet van scherpe details, levendige kleuren en een helder beeld bij het bekijken van films, foto's of het werken aan grafische projecten. Het compacte formaat maakt de Lenovo Yoga Pro 7 perfect draagbaar, terwijl het scherm toch voldoende ruimte biedt om comfortabel te werken.
Met 16 GB intern geheugen kun je moeiteloos multitasken en veeleisende taken uitvoeren. Schakel naadloos tussen verschillende programma's en geniet van een responsieve gebruikerservaring zonder enige vertraging. Of je nu bezig bent met intensieve werkzaamheden, grafisch ontwerp of multitasking, de Lenovo Yoga Pro 7 kan het aan.
De totale opslagcapaciteit van 512 GB SSD biedt voldoende ruimte om al je bestanden, documenten en multimedia op te slaan. Profiteer van snelle toegang tot je gegevens en bestanden, en geniet van snel opstarten en vlotte prestaties dankzij de SSD-opslag.
De AMD Radeon 680M geïntegreerde grafische kaart zorgt voor een verbluffende visuele weergave en heldere graphics. Geniet van vloeiende beelden en een meeslepende kijkervaring bij het bekijken van video's, het bewerken van foto's of het spelen van lichte games.
De Lenovo Yoga Pro 7 wordt geleverd met Windows 11 Home, het nieuwste besturingssysteem van Microsoft. Profiteer van de nieuwste functies, verbeterde beveiliging en naadloze integratie met andere apparaten en services. Met Windows 11 Home ben je altijd up-to-date en klaar voor de toekomst.
Met zijn stijlvolle grijze kleur straalt de Lenovo Yoga Pro 7 elegantie en moderniteit uit. Het hoogwaardige ontwerp is perfect afgewerkt en zorgt voor een verfijnde uitstraling. Deze notebook is een combinatie van schoonheid en functionaliteit.
Kortom, de Lenovo Yoga Pro 7 notebook biedt kracht, prestaties en flexibiliteit in een stijlvol ontwerp. Met zijn indrukwekkende specificaties en betrouwbaarheid is deze laptop perfect geschikt voor zowel werk als ontspanning. Ervaar zelf de veelzijdigheid en kracht van de Lenovo Yoga Pro 7 en ontdek waarom het de ideale metgezel is voor jouw dagelijkse leven.",https://www.laptop.nl/picture/80068977/600/370/HighResolution/LPNL/false,https://www.laptop.nl/product/outlet-lenovo-yoga-pro-7-83au0048mh/80068977/17923
Laptops,Lenovo IdeaPad Flex 5 - 82R700M4MH,"Stijlvol en dynamisch ontwerp
Houd de snel veranderende wereld bij met de veelzijdige IdeaPad Flex 5i Gen 7 (14'' Intel). Werk en leer in laptopstand, geniet van entertainment in tentstand, gebruik de staande stand voor presentaties of lees comfortabel in tabletstand. Het scharnier van 360° is meer dan 25.000 keer getest om duurzaamheid te garanderen. Het apparaat is verkrijgbaar in drie kleuren en de dikte van 17,4 mm en het gewicht van 1,6 kg maken hem zeer draagbaar.
Kristalheldere kleur
Geniet van hoge beeldkwaliteit op tot een OLED-scherm van 2,8k, met een beeldverhouding van 16:10 voor meer schermoppervlak, DCI-P3 voor een beter contrast en 400 nits helderheid. TÜV-certificering voor beperkt blauw licht zorgt voor minder vermoeide ogen zonder in te leveren op kleurnauwkeurigheid, zodat je zowel kunt genieten van beeldkwaliteit als ergonomisch comfort.
Onbelemmerde prestaties
De IdeaPad Flex 5i Gen 7 (14'' Intel) is veelzijdig, draagbaar en krachtig. Tot een Intel® Core™ i7-processor van de 12e generatie zorgt voor naadloze streaming, contentcreatie en entertainment. Met tot 16 GB geheugen en 1 TB PCIe 4.0 SSD-opslag kun je gemakkelijk multitasken en je bestanden opslaan. Terwijl intelligente koeling op de achtergrond de temperatuur, en ook het geluidsniveau, laag houdt.
Overweldigende productiviteit
De technologie van Intel® Thunderbolt™ 4.0 zorgt voor een soepele stroomtoevoer naar andere apparaten en snelle gegevensoverdrachten. De IdeaPad Flex 5i Gen 7 biedt ook Rapid Charge Boost voor 2 uur gebruik na slechts 15 minuten opladen. En met de vingerafdruklezer log je privé en veilig in. Met de optionele standaard Lenovo Pen kun je ook op het scherm tekenen, schetsen of notities maken in documenten. Standaard Lenovo Pen is optioneel, niet meegeleverd.
Grenzeloze samenwerking
Als je wilt gaan samenwerken, staat de IdeaPad Flex 5i Gen 7 (14"" Intel) voor je klaar. Videovergaderingen werken beter met afgestemde audio en verminderd achtergrondgeluid. Twee microfoons vangen je stem duidelijker op, Dolby Audio™ optimaliseert het geluid en Smart Noise Cancelling filtert het gebabbel op de achtergrond weg, zodat je je beter kunt concentreren op wat belangrijk is.
Specificaties kunnen per regio/model verschillen.",https://www.laptop.nl/picture/80066137/600/370/HighResolution/LPNL/false,https://www.laptop.nl/product/lenovo-ideapad-flex-5-82r700m4mh/80066137/17923
Laptops,MSI Thin A15 B7UC-004NL,"MASSIEVE BLIKSEM DOORKLIEFT DE LUCHT
Terwijl vurige draken uit de bergen oprijzen, wacht de uitgestrekte en wonderlijke gamingwereld op ontdekking – en de Thin A15 is jouw perfecte metgezel voor deze reis! Het iconische dunne chassis is nu verkrijgbaar in een gloednieuwe kosmisch grijze kleur en uitgerust met verbeterde hardware. Ontketen de kracht en beleef de gamingwereld vrij en razendsnel met de Thin A15!
NIEUWE STANDAARD VOOR GAMING
Welkom in het nieuwe tijdperk van prestaties. De AMD Ryzen 7035HS Series introduceert de snelheid van ""Zen 3+"" voor gamers en creators met pure kracht om elk spel of werkproces op het digitale speelveld aan te kunnen. Met tot 8 cores en 16 threads levert de AMD Ryzen 7035HS Series baanbrekende prestaties.
GEFORCE RTX 30 SERIES LAPTOPS
DE ULTIEME GAME-ERVARING
NVIDIA® GeForce RTX™ 30 Series Laptop GPU’s drijven de snelste laptops ter wereld aan voor gamers en creators. Ze zijn gebouwd met Ampere—NVIDIA’s 2e generatie RTX-architectuur—om je de meest realistische ray-traced graphics en geavanceerde AI-functies zoals NVIDIA DLSS te bieden. Bovendien ontketenen Max-Q-technologieën de kracht van AI om dunne, high-performance laptops sneller en beter dan ooit te maken.
VERHOOG DE PRESTATIES MET AI
NVIDIA DLSS geeft games een prestatieboost zonder in te leveren op beeldkwaliteit. Zet de instellingen en resolutie hoger voor een nog betere visuele ervaring.
MEER MEESLEPENDE ERVARINGEN
Ray Tracing is de heilige graal van graphics. Het simuleert hoe licht zich in de echte wereld gedraagt om de meest realistische en meeslepende graphics te produceren voor zowel gamers als creators – en dankzij de 2e generatie RT Cores loopt alles soepel en snel.
GEOPTIMALISEERDE KRACHT EN PRESTATIES
NVIDIA Max-Q is een reeks AI-aangedreven technologieën die laptops optimaliseren voor hoge prestaties in een dunne vormfactor.
BLIJF KOEL EN STIL ONDER BELASTING
Fijn afgesteld om merkbaar stiller en koeler te blijven onder belasting, waardoor hij moeiteloos in elke omgeving past.
BLIKSEMSNELLE EN VLOEIENDE WEERGAVE
Onze gaming-laptops zijn speciaal ontworpen en geoptimaliseerd voor gamers. Het hogere verversingssnelheidsscherm met soepele visuals laat je gaming-ervaring naar een hoger niveau tillen.
VEELZIJDIGE CONNECTIVITEIT
De Thin A15 biedt uitgebreide connectiviteitsopties, zodat je al je apparaten moeiteloos kunt aansluiten.",https://www.laptop.nl/picture/80068387/600/370/HighResolution/LPNL/false,https://www.laptop.nl/product/msi-thin-a15-b7uc-004nl/80068387/17923
Laptops,Lenovo IdeaPad Gaming 3 - 82K202CLMH,"Versla al je rivalen
Stap over naar het hoogste van elite gamingniveau met een high-end AMD Ryzen™ 5000 H-serie Mobile-processor en de allernieuwste NVIDIA® GeForce RTX™ GPU. De maximale waarden van de IdeaPad Gaming 3 zijn zo goed als bij een grote computer, dus kun je net zo snel gamen en net zo hard rijden als de pro's. De Ideapad beschikt over een razendsnel 165 Hz FHD IPS-scherm, een ultrasnel toetsenbord met 100% N-key rollover, snellere koeling die 40% meer warmte afvoert, en Nahimic surround sound-audio.
Ultieme prestaties, compromisloze batterijduur
Ze zeggen dat hoge prestaties en een lange batterijduur tegelijk op een laptop niet mogelijk zijn. Ze zeggen dat een krachtige gaminglaptop groot, dik en zwaar moet zijn. Ze hebben het mis. Dankzij de nieuwe mobiele processor uit de AMD Ryzen™ 5000 H-serie kun je nu genieten van topprestaties in games op een dunne en lichte laptop met een geweldige batterijduur. Je hoeft dus nooit meer compromissen te sluiten over je gaminglaptop.
Ultieme prestaties voor gamers en makers
Laptop-GPU's uit de NVIDIA® GeForce RTX™ 30-serie leveren de ultieme prestaties voor gamers en creatieve makers. Ze draaien op Ampere, NVIDIA's 2e generatie RTX-architectuur, met nieuwe Ray Tracing Cores, Tensor Cores en streaming-multiprocessors, waardoor de snelheid enorm toeneemt. Geniet van de zeer natuurgetrouwe ray-traced beelden, geavanceerde nieuwe functies en de kracht van AI in een dun en licht ontwerp.
Welkom bij het hoogste niveau van gamingvideo
Game met snelheden en videobeelden van pro-niveau. Speel AAA-titels op het topscherm met 165 Hz FHD (1920 x 1080) IPS op de hoogste resolutie-instellingen voor verbluffende beelden met ultrafijne details en vloeiende framesnelheden zonder tearing. Ervaar games zoals ze zijn bedoeld met 100% sRGB op een nagenoeg randloos scherm.
Een supersnel toetsenbord
De juiste ergonomie en prestaties van het toetsenbord maken het verschil tussen victorie en nederlaag. Dankzij de 1,5 mm toetsdiepte en de 100% N-key rollover van het IdeaPad Gaming 3 Gen 6-toetsenbord met witte achtergrondverlichting of het optionele 4-zone RGB-toetsenbord kun je alle hits scoren die je nodig hebt en volledig opgaan in de game.
Sneller, koeler, stiller
De IdeaPad Gaming 3 Gen 6 is sneller en koeler dan de vorige generaties, met een verhoogd thermisch plafond dat 41% meer warmte afvoert (120 W). De geavanceerde koeling verdubbelt de luchtstroom en heeft twee keer zoveel luchtuitlaten en tot wel vier warmtepijpen.
Afgestemd op topprestaties
Schaf met de IdeaPad Gaming 3 Gen 6 de topprestaties aan die je wenst, met doelgerichte verbeteringen zoals het 30% grotere touchpad uit één stuk. Geniet van de Nahimic-audio voor games, met een meeslepend 7.1-kanaals surround-geluid dat fungeert als radar om je doelen op het strijdtoneel te lokaliseren.
Windows 11 is er nog niet, maar komt later dit jaar uit.
Als je deze pc koopt, ontvang je een gratis upgrade naar Windows 11 wanneer deze beschikbaar is.1 1 De planning voor de uitrol van upgrades is bijna voltooid en deze zal naar verwachting eind 2021 van start gaan en doorlopen tot in 2022. Het precieze moment zal per apparaat verschillen. Bepaalde functies vereisen specifieke hardware. Zie www.microsoft.com/windows/windows-11-specifications.
Specificaties kunnen per regio/model verschillen.",https://www.laptop.nl/picture/80066129/600/370/HighResolution/LPNL/false,https://www.laptop.nl/product/lenovo-ideapad-gaming-3-82k202clmh/80066129/17923
